endpoint, description, includeUrl
https://cloud.cbh.kth.se/, kthcloud console, true
https://api.cloud.cbh.kth.se/deploy, kthcloud API, false
https://docs.cloud.cbh.kth.se/, Documentation, true
https://k8s.cloud.cbh.kth.se, Internal services cluster, false
https://k8s.prod.cloud.cbh.kth.se, Production cluster, false
https://k8s.dev.cloud.cbh.kth.se, Dev cluster, false
https://iam.cloud.cbh.kth.se, kthcloud Single sign-on, false
https://dns.cloud.cbh.kth.se, kthcloud DNS server, false
https://maas.cloud.cbh.kth.se, MAAS, false
https://taiga.prod.cloud.cbh.kth.se, Taiga, true
https://registry.cloud.cbh.kth.se/, Docker registry, false
https://se-flem-probe.app.cloud.cbh.kth.se/, kthcloud Flemingsberg Deployments, false 
https://se-kista-probe.app.kista.cloud/, kthcloud Kista Deployments, false
